id (text),name (text),price (float),description (text),status (select),featureImage (relationship),reviews (relationship),stock (integer),shippingZones (relationship),metaDescription (text),metaImage (relationship),metaTitle (text),sku (text),variant (relationship),brand (relationship),relatedProducts (relationship),productBundle (relationship),categories (relationship),canonicalCategory (relationship),type (select),discount (float)
3,Nouveau Polo Shirt,$67.00,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,out of stock,Unsplash,"great-product-shame-about-the-stitching, i-loved-this-shirt-until-my-boyfriend-started-wearing-it, durable-and-does-what-it-says, best-part-of-my-prom-outfit, comfy-af-look-good-too, ",0,"new-south-wales, tasmania, queensland, act, western-australia, south-australia, victoria",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Nouveau Polo Shirt,293638,Nouveau Polo Shirt M,crazy-boxer,,,"casual,formalwear,accessories,bottoms,businesswear,denim",casual,physical,0.33
8,Rock Star Cargo Pants,$45.00,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,in stock,Unsplash,"durable-and-does-what-it-says, best-part-of-my-prom-outfit, comfy-af-look-good-too,",30,"auckland, canterbury, hawkes-bay, marlborough, nelson, otago, southland, taranaki",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Rock Star Cargo Pants,29836,Rock Star Cargo Pants M,commons,,,"casual,formalwear,accessories,bottoms,businesswear,denim",casual,physical,0
13,Maxx 7 Pack Trunks,$10.99,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,discontinued,Unsplash,i-loved-this-shirt-until-my-boyfriend-started-wearing-it,30,"new-south-wales, tasmania, queensland, act, western-australia, south-australia, victoria, auckland, canterbury, hawkes-bay, marlborough, nelson, otago, southland, taranaki",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Maxx 7 Pack Trunks,836789,Maxx 7 Pack Trunks M,bonds,,,"casual,formalwear,accessories,bottoms,businesswear,denim",casual,physical,0
18,Darwin Boy Engineers Chino,$89.00,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,in stock,Unsplash,,30,"new-south-wales, tasmania, queensland, act, western-australia, south-australia, victoria",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Darwin Boy Engineers Chino,987276,Darwin Boy Engineers Chino M,lonsdale london,,,"casual,formalwear,accessories,bottoms,businesswear,denim",casual,physical,0
23,Disney Friends Hipster Brief,$99.00,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,in stock,Unsplash,,30,"auckland, canterbury, hawkes-bay, marlborough, nelson, otago, southland, taranaki",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Disney Friends Hipster Brief,256288,Disney Friends Hipster Brief M,graphite workwear,,,"casual,formalwear,accessories,bottoms,businesswear,denim",casual,physical,0
5,Commons Tapered Trackpants,$12.00,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,in stock,Unsplash,"great-product-shame-about-the-stitching, i-loved-this-shirt-until-my-boyfriend-started-wearing-it, durable-and-does-what-it-says, best-part-of-my-prom-outfit, comfy-af-look-good-too, ",30,"auckland, canterbury, hawkes-bay, marlborough, nelson, otago, southland, taranaki",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Commons Tapered Trackpants,234527,"Commons Tapered Trackpants S, Commons Tapered Trackpants M, Commons Tapered Trackpants L",graphite workwear,,,"knitwear,plus-size,shoes,sleepwear,swimwear,tops,underwear-socks,work-&-safety,sport-&-outdoor,chinos",knitwear,physical,0.1
10,Casual Shorts,$34.00,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,in stock,Unsplash,"durable-and-does-what-it-says, best-part-of-my-prom-outfit, comfy-af-look-good-too,",30,"new-south-wales, tasmania, queensland, act, western-australia, south-australia, victoria, auckland, canterbury, hawkes-bay, marlborough, nelson, otago, southland, taranaki",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Casual Shorts,887766,Casual Shorts M,fila,,,"knitwear,plus-size,shoes,sleepwear,swimwear,tops,underwear-socks,work-&-safety,sport-&-outdoor,chinos",knitwear,physical,0
15,Red Barron Organic Ankle Warmers,$89.00,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,discontinued,Unsplash,i-loved-this-shirt-until-my-boyfriend-started-wearing-it,30,"new-south-wales, tasmania, queensland, act, western-australia, south-australia, victoria",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Red Barron Organic Ankle Warmers,265752,Red Barron Organic Ankle Warmers M,crazy-boxer,,,"knitwear,plus-size,shoes,sleepwear,swimwear,tops,underwear-socks,work-&-safety,sport-&-outdoor,chinos",knitwear,physical,0
20,Active Core Woven Shorts,$45.00,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,in stock,Unsplash,,30,"auckland, canterbury, hawkes-bay, marlborough, nelson, otago, southland, taranaki",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Active Core Woven Shorts,672772,Active Core Woven Shorts M,commons,,,"knitwear,plus-size,shoes,sleepwear,swimwear,tops,underwear-socks,work-&-safety,sport-&-outdoor,chinos",knitwear,physical,0
25,His Dark Materials Trilogy (ePub),$10.00,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,in stock,Unsplash,,30,"new-south-wales, tasmania, queensland, act, western-australia, south-australia, victoria, auckland, canterbury, hawkes-bay, marlborough, nelson, otago, southland, taranaki",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,His Dark Materials Trilogy (ePub),298725,His Dark Materials Trilogy (ePub) M,bonds,,,"knitwear,plus-size,shoes,sleepwear,swimwear,tops,underwear-socks,work-&-safety,sport-&-outdoor,chinos",books,digital,0
1,Fleece Dressing Gown,$45.00,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,discontinued,Unsplash,"great-product-shame-about-the-stitching, i-loved-this-shirt-until-my-boyfriend-started-wearing-it, durable-and-does-what-it-says, best-part-of-my-prom-outfit, comfy-af-look-good-too, ",30,"new-south-wales, tasmania, queensland, act, western-australia, south-australia, victoria, auckland, canterbury, hawkes-bay, marlborough, nelson, otago, southland, taranaki",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Fleece Dressing Gown,454746,"Green Fleece Dressing Gown S, Red Fleece Dressing Gown S, Green, Fleece Dressing Gown M, Red Fleece Dressing Gown M, Green Fleece Dressing Gown L, Red Fleece Dressing Gown L",bonds,,,"loungewear,jackets-and-coats,knitwear,plus-size,shoes",loungewear,physical,0.33
4,Lonsdale Sorrento Blues Polo Shirt,$89.00,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,in stock,Unsplash,"durable-and-does-what-it-says, best-part-of-my-prom-outfit, comfy-af-look-good-too,",30,"new-south-wales, tasmania, queensland, act, western-australia, south-australia, victoria, auckland, canterbury, hawkes-bay, marlborough, nelson, otago, southland, taranaki",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Lonsdale Sorrento Blues Polo Shirt,283745,"Lonsdale Sorrento Blues Polo Shirt S, Lonsdale Sorrento Blues Polo Shirt M, Lonsdale Sorrento Blues Polo Shirt L",fila,,,"loungewear,jackets-and-coats",loungewear,physical,0.33
6,Organic Cotton T-Shirt,$24.00,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,in stock,Unsplash,i-loved-this-shirt-until-my-boyfriend-started-wearing-it,30,"new-south-wales, tasmania, queensland, act, western-australia, south-australia, victoria",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Organic Cotton T-Shirt,726453,"Organic Cotton T-Shirt S, Organic Cotton T-Shirt M, Organic Cotton T-Shirt L",lonsdale london,,,"loungewear,jackets-and-coats,knitwear,plus-size,shoes",loungewear,physical,0.05
9,Denim Chinos,$87.00,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,in stock,Unsplash,"great-product-shame-about-the-stitching, i-loved-this-shirt-until-my-boyfriend-started-wearing-it, durable-and-does-what-it-says, best-part-of-my-prom-outfit, comfy-af-look-good-too, ",30,"new-south-wales, tasmania, queensland, act, western-australia, south-australia, victoria",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Denim Chinos,837644,Denim Chinos M,crazy-boxer,,,"loungewear,jackets-and-coats",loungewear,physical,0
11,Star Wars The Mandalorian Licensed T-Shirt,$25.49,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,discontinued,Unsplash,"durable-and-does-what-it-says, best-part-of-my-prom-outfit, comfy-af-look-good-too,",30,"auckland, canterbury, hawkes-bay, marlborough, nelson, otago, southland, taranaki",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Star Wars The Mandalorian Licensed T-Shirt,993383,Star Wars The Mandalorian Licensed T-Shirt M,graphite workwear,,,"loungewear,jackets-and-coats,knitwear,plus-size,shoes",loungewear,physical,0
14,Commons Torquay Midriff Warmer,$9.99,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,out of stock,Unsplash,i-loved-this-shirt-until-my-boyfriend-started-wearing-it,0,"auckland, canterbury, hawkes-bay, marlborough, nelson, otago, southland, taranaki",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Commons Torquay Midriff Warmer,398763,Commons Torquay Midriff Warmer M,commons,,,"loungewear,jackets-and-coats",loungewear,physical,0
16,Galaxy Brain Organic Cotton Beanie,$14.50,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,out of stock,Unsplash,"great-product-shame-about-the-stitching, i-loved-this-shirt-until-my-boyfriend-started-wearing-it, durable-and-does-what-it-says, best-part-of-my-prom-outfit, comfy-af-look-good-too, ",0,"new-south-wales, tasmania, queensland, act, western-australia, south-australia, victoria, auckland, canterbury, hawkes-bay, marlborough, nelson, otago, southland, taranaki",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Galaxy Brain Organic Cotton Beanie,987362,Galaxy Brain Organic Cotton Beanie M,fila,,,"loungewear,jackets-and-coats,knitwear,plus-size,shoes",loungewear,physical,0
19,Mossimo LA Palm Print T-Shirt,$76.00,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,in stock,Unsplash,"durable-and-does-what-it-says, best-part-of-my-prom-outfit, comfy-af-look-good-too,",30,"new-south-wales, tasmania, queensland, act, western-australia, south-australia, victoria, auckland, canterbury, hawkes-bay, marlborough, nelson, otago, southland, taranaki",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Mossimo LA Palm Print T-Shirt,278,Mossimo LA Palm Print T-Shirt M,bonds,,,"loungewear,jackets-and-coats",loungewear,physical,0
21,Slim Denim Shorts,$22.56,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,in stock,Unsplash,i-loved-this-shirt-until-my-boyfriend-started-wearing-it,30,"new-south-wales, tasmania, queensland, act, western-australia, south-australia, victoria",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Slim Denim Shorts,287287,Slim Denim Shorts M,crazy-boxer,,,"loungewear,jackets-and-coats,knitwear,plus-size,shoes",loungewear,physical,0
24,Scooby Doo Beanie,$99.99,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,in stock,Unsplash,,30,"new-south-wales, tasmania, queensland, act, western-australia, south-australia, victoria",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Scooby Doo Beanie,298722,Scooby Doo Beanie M,lonsdale london,,,"loungewear,jackets-and-coats",loungewear,physical,0
26,Garment Fleece Hoodie,$34.00,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,in stock,Unsplash,,30,"auckland, canterbury, hawkes-bay, marlborough, nelson, otago, southland, taranaki",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Garment Fleece Hoodie,364786,Garment Fleece Hoodie M,commons,,,"loungewear,jackets-and-coats,knitwear,plus-size,shoes",loungewear,physical,0
2,Cotton Dressing Gown,$13.99,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,out of stock,Unsplash,,0,"auckland, canterbury, hawkes-bay, marlborough, nelson, otago, southland, taranaki",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Cotton Dressing Gown,826745,Cotton Dressing Gown M,commons,,,"tops,underwear-socks,work-&-safety",tops,physical,0.33
7,Rod Stewart Pyjamas,$17.99,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,in stock,Unsplash,"great-product-shame-about-the-stitching, i-loved-this-shirt-until-my-boyfriend-started-wearing-it, durable-and-does-what-it-says, best-part-of-my-prom-outfit, comfy-af-look-good-too, ",30,"new-south-wales, tasmania, queensland, act, western-australia, south-australia, victoria, auckland, canterbury, hawkes-bay, marlborough, nelson, otago, southland, taranaki",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Rod Stewart Pyjamas,739867,"Rod Stewart Pyjamas S, Rod Stewart Pyjamas M, Rod Stewart Pyjamas L",bonds,,,"tops,underwear-socks,work-&-safety",tops,physical,0
12,Mens Bluey Drummer Sleep Pyjama,$12.99,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,out of stock,Unsplash,"durable-and-does-what-it-says, best-part-of-my-prom-outfit, comfy-af-look-good-too,",0,"new-south-wales, tasmania, queensland, act, western-australia, south-australia, victoria",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Mens Bluey Drummer Sleep Pyjama,938376,Mens Bluey Drummer Sleep Pyjama M,lonsdale london,,,"tops,underwear-socks,work-&-safety",tops,physical,0
17,Pineapple Joe Inflatable Banana Chair,"$225,569.59",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,in stock,Unsplash,i-loved-this-shirt-until-my-boyfriend-started-wearing-it,30,"auckland, canterbury, hawkes-bay, marlborough, nelson, otago, southland, taranaki",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Pineapple Joe Inflatable Banana Chair,189198,Pineapple Joe Inflatable Banana Chair M,graphite workwear,,,"tops,underwear-socks,work-&-safety",tops,physical,0
22,Graphite Performance Cargo Shorts,$89.00,Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,in stock,Unsplash,,30,"new-south-wales, tasmania, queensland, act, western-australia, south-australia, victoria, auckland, canterbury, hawkes-bay, marlborough, nelson, otago, southland, taranaki",Lorem ipsum dolor sit amet egestas fermentum sollicitudin viverra mattis lobortis aliqua tempus proin.,Unsplash,Graphite Performance Cargo Shorts,356362,Graphite Performance Cargo Shorts M,fila,,,"tops,underwear-socks,work-&-safety",tops,physical,0